name_code,kingdom,kingdom_c,phylum,phylum_c,class,class_c,order,order_c,family,family_c,genus,genus_c,name,species,infraspecies_marker,infraspecies,infraspecies2_marker,infraspecies2,author,author2,common_name_c,is_alien,is_invasive,is_cultivated,is_endemic,cites_code,iucn_code,coa_code
400042,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Formicidae,蟻科,Anoplolepis,,Anoplolepis gracilipes,gracilipes,,,,,"(Smith, 1857)",,長腳捷蟻,1,1,0,,,,
404545,Animalia,動物界,Chordata,脊索動物門,Aves,鳥綱,Passeriformes,雀形目,Sturnidae,椋鳥科,Aplonis,,Aplonis panayensis,panayensis,,,,,"(Scopoli, 1786)",,亞洲輝椋鳥;輝椋鳥;菲律賓椋鳥,1,1,0,,,LC,
340020,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Diaspididae,盾介殼蟲科,Aulacaspis,,Aulacaspis yasumatsui,yasumatsui,,,,,"Takagi, 1977",,蘇鐵白輪盾介殼蟲,1,1,0,,,,
315536,Animalia,動物界,Mollusca,軟體動物門,Gastropoda,腹足綱,Neogastropoda,新腹足目,Buccinidae,峨螺科,Babylonia,,Babylonia formosae habei,formosae,subsp.,habei,,,"Altena &amp; Gittenber, 1981",,波部鳳螺,1,1,0,,,,
338487,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Diptera,雙翅目,Tephritidae,果實蠅科,Bactrocera,,Bactrocera dorsalis,dorsalis,,,,,"(Hendel, 1912)",,東方果實蠅,1,1,0,,,,
316971,Animalia,動物界,Arthropoda,節肢動物門,Thecostraca,鞘甲綱,Balanomorpha,藤壺目,Balanidae,藤壺科,Balanus,,Balanus trigonus,trigonus,,,,,"Darwin, 1854",,三角藤壺,1,1,0,,,,
395479,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Barbonymus,,Barbonymus gonionotus,gonionotus,,,,,"(Bleeker, 1849)",,銀高體鲃;爪哇鲃;爪哇四鬚鲃,1,1,0,,,LC,
395731,Animalia,動物界,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Cypriniformes,鯉形目,Cyprinidae,鯉科,Barbonymus,,Barbonymus schwanenfeldii,schwanenfeldii,,,,,"(Bleeker, 1854)",,施氏鲃;施氏鲃,1,1,0,,,,
339675,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hemiptera,半翅目,Aleyrodidae,粉蝨科,Bemisia,,Bemisia tabaci,tabaci,,,,,"(Gennadius, 1889)",,煙草粉蝨;銀葉粉蝨,1,1,0,,,,
426960,Animalia,動物界,Chordata,脊索動物門,Reptilia,爬蟲綱,Squamata,有鱗目,Colubridae,黃頷蛇科,Boiga,,Boiga irregularis,irregularis,,,,,"(Merrem, 1802)",,棕樹蛇,1,1,0,,,LC,
340807,Animalia,動物界,Arthropoda,節肢動物門,Insecta,昆蟲綱,Hymenoptera,膜翅目,Braconidae,小繭蜂科,Bracon,,Bracon hebetor,hebetor,,,,,"Say, 1836",,條斑螟小繭蜂,1,1,0,,,,
